hourTimestamp,MAGMA Melter/Line Utilities/Oxygen Fuel Sum Gas Energy,MAGMA Melter/Properties/Glass Exit Tonnage Total,Energy Consumption Rate
2024-11-04T10:00:00Z,21.60900274,0.002335636,9251.870899
2024-11-04T11:00:00Z,21.90424411,0.002389189,9168.0667
2024-11-04T12:00:00Z,21.77510003,0.002353975,9250.353139
2024-11-04T13:00:00Z,22.19853517,0.002421821,9166.051153
2024-11-04T14:00:00Z,22.44509206,0.002447042,9172.336257
2024-11-04T15:00:00Z,23.02295939,0.002504347,9193.198622
2024-11-04T16:00:00Z,23.33660822,0.002532802,9213.751497
2024-11-04T17:00:00Z,23.30531453,0.002548752,9143.814122
2024-11-04T18:00:00Z,22.99933574,0.002481941,9266.673035
2024-11-04T19:00:00Z,22.77169402,0.00244086,9329.373262
2024-11-04T20:00:00Z,22.4195776,0.002432508,9216.651127
2024-11-04T21:00:00Z,22.65007496,0.002449961,9245.075722
2024-11-04T22:00:00Z,22.55910191,0.002437533,9254.890871
2024-11-04T23:00:00Z,22.53430262,0.00242931,9276.009492
2024-11-05T00:00:00Z,22.50499519,0.002443147,9211.478143
2024-11-05T01:00:00Z,22.90236297,0.002497609,9169.715104
2024-11-05T02:00:00Z,23.17572759,0.002508701,9238.138618
2024-11-05T03:00:00Z,23.28067341,0.002535436,9182.118346
2024-11-05T04:00:00Z,23.03867883,0.002476882,9301.484217
2024-11-05T05:00:00Z,22.69735414,0.002443973,9287.072378
2024-11-05T06:00:00Z,22.50887389,0.002427662,9271.831865
2024-11-05T07:00:00Z,22.49693231,0.002430969,9254.306538
2024-11-05T08:00:00Z,22.74891827,0.00246702,9221.213557
2024-11-05T09:00:00Z,22.97421197,0.002496597,9202.210837
2024-11-05T10:00:00Z,23.0226599,0.002497953,9216.610521
2024-11-05T11:00:00Z,23.03901885,0.002493634,9239.134071
2024-11-05T12:00:00Z,22.96085377,0.002466938,9307.430414
2024-11-05T13:00:00Z,22.93382814,0.00246687,9296.731542
2024-11-05T14:00:00Z,23.03620828,0.002488411,9257.396901
2024-11-05T15:00:00Z,22.61684446,0.002441051,9265.207675
2024-11-05T16:00:00Z,22.84025251,0.002492393,9163.985178
